id,season,division,round,localTeam,visitorTeam,localGoals,visitorGoals,date,result,T1PliS,T1PviS,T2PliS,T2PviS,total_punts_loc,total_punts_vis,month,day_of_week,GoalsliS,GoalsviS,local_3streak,visitor_3streak,local_5streak,visitor_5streak,last_1ra_loc,last_1ra_vis,Rk_loc,Rk_vis,last_top6_loc,last_top6_vis
11796,1987-88,1,10,Las Palmas,Sevilla,1,2,1987-11-08,0,0.5,0.06666666666666667,0.4,0.5,7.0,12.0,4,7,8.0,10.0,3.0,3.0,3.0,6.0,1,1,11.0,7.0,0,0
11797,1987-88,1,10,Murcia,Logrones,2,3,1987-11-08,0,0.5,0.26666666666666666,0.2,0.08333333333333333,10.0,4.0,4,7,11.0,4.0,4.0,2.0,4.0,2.0,1,1,9.0,13.0,0,0
11798,1987-88,1,10,Osasuna,Espanol,0,0,1987-11-08,1,0.8333333333333334,0.3333333333333333,0.4,0.5,15.0,12.0,4,7,10.0,8.0,7.0,6.0,8.0,6.0,1,1,4.0,7.0,0,0
11799,1987-88,1,10,Real Sociedad,Mallorca,1,0,1987-11-08,2,0.4166666666666667,0.6,0.5333333333333333,0.16666666666666666,14.0,10.0,4,7,15.0,16.0,7.0,5.0,13.0,9.0,1,1,5.0,9.0,0,0
11800,1987-88,1,10,Valladolid,Sabadell,0,0,1987-11-08,1,0.6666666666666666,0.26666666666666666,0.26666666666666666,0.08333333333333333,12.0,5.0,4,7,5.0,3.0,6.0,0.0,9.0,1.0,1,1,7.0,12.0,0,0
11801,1987-88,1,10,Zaragoza,Valencia,2,2,1987-11-08,1,0.75,0.26666666666666666,0.6666666666666666,0.3333333333333333,13.0,14.0,4,7,17.0,10.0,3.0,1.0,9.0,4.0,1,1,6.0,5.0,0,0
11802,1987-88,1,11,Betis,Barcelona,1,2,1987-11-21,0,0.7333333333333333,0.2,0.26666666666666666,0.6,14.0,13.0,4,6,16.0,10.0,4.0,7.0,7.0,10.0,1,1,6.0,7.0,0,0
11803,1987-88,1,11,Espanol,Las Palmas,1,2,1987-11-21,0,0.4,0.4666666666666667,0.4,0.06666666666666667,13.0,7.0,4,6,8.0,9.0,7.0,0.0,7.0,3.0,1,1,7.0,9.0,0,0
11804,1987-88,1,11,Atletico de Bilbao,Zaragoza,2,2,1987-11-22,1,0.6666666666666666,0.4,0.6666666666666666,0.26666666666666666,16.0,14.0,4,7,11.0,19.0,2.0,4.0,5.0,7.0,1,1,4.0,6.0,0,0
11805,1987-88,1,11,Atletico de Madrid,Sporting de Gijon,1,2,1987-11-22,0,1.0,0.5333333333333333,0.5333333333333333,0.13333333333333333,23.0,10.0,4,7,16.0,10.0,7.0,2.0,13.0,5.0,1,1,2.0,8.0,0,0
11806,1987-88,1,11,Cadiz,Sevilla,1,0,1987-11-22,2,0.4666666666666667,0.6,0.4,0.6,16.0,15.0,4,7,15.0,12.0,3.0,3.0,7.0,6.0,1,1,4.0,5.0,0,0
11807,1987-88,1,11,Celta de Vigo,Murcia,2,0,1987-11-22,2,0.7333333333333333,0.3333333333333333,0.4,0.26666666666666666,16.0,10.0,4,7,12.0,13.0,6.0,4.0,8.0,4.0,1,1,4.0,8.0,0,0
11808,1987-88,1,11,Logrones,Real Sociedad,1,1,1987-11-22,1,0.2,0.26666666666666666,0.5333333333333333,0.6,7.0,17.0,4,7,7.0,16.0,4.0,7.0,5.0,13.0,1,1,9.0,3.0,0,0
11809,1987-88,1,11,Mallorca,Valladolid,0,2,1987-11-22,0,0.5333333333333333,0.13333333333333333,0.6,0.26666666666666666,10.0,13.0,4,7,16.0,5.0,2.0,4.0,6.0,10.0,1,1,8.0,7.0,0,0
11810,1987-88,1,11,Sabadell,Real Madrid,0,2,1987-11-22,0,0.26666666666666666,0.13333333333333333,0.8,0.8666666666666667,6.0,25.0,4,7,3.0,32.0,1.0,4.0,1.0,10.0,1,1,10.0,1.0,0,0
11811,1987-88,1,11,Valencia,Osasuna,1,0,1987-11-22,2,0.6666666666666666,0.3333333333333333,0.7333333333333333,0.3333333333333333,15.0,16.0,4,7,12.0,10.0,2.0,7.0,2.0,8.0,1,1,5.0,4.0,0,0
11812,1987-88,1,12,Zaragoza,Atletico de Madrid,2,2,1987-11-28,1,0.6666666666666666,0.2777777777777778,0.8333333333333334,0.5333333333333333,15.0,23.0,4,6,21.0,17.0,2.0,6.0,5.0,10.0,1,1,7.0,2.0,0,0
11813,1987-88,1,12,Barcelona,Cadiz,3,1,1987-11-29,2,0.26666666666666666,0.6666666666666666,0.5555555555555556,0.6,16.0,19.0,4,7,12.0,16.0,9.0,6.0,13.0,7.0,1,1,6.0,3.0,0,0
